,ID_REF,CB-C-1,CB-C-4,CB-C-5,CB-C-6,CB-C-7,CB-C-8,CB-C-9,CB-C-10,CB-SA-1,CB-SA-2,CB-SA-3,CB-SA-4,CB-SA-5,CB-SA-6,CB-SA-7,CB-SA-8,CB-SA-11
8953,ENSG00000147457,254,165,277,236,113,214,476,111,293,241,324,319,444,213,311,828,206
8954,ENSG00000147459,71,54,81,88,64,89,155,113,100,108,91,335,276,83,194,161,198
8955,ENSG00000147465,1,2,4,3,2,2,4,14,1,2,1,6,3,3,4,12,3
8956,ENSG00000147471,213,120,320,202,88,141,229,83,215,148,159,339,171,115,333,312,179
8957,ENSG00000147475,48,15,82,31,13,28,66,18,45,43,51,67,46,29,133,90,92
8958,ENSG00000147481,0,6,0,0,3,0,3,6,0,0,0,4,4,5,0,3,0
8959,ENSG00000147485,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
8960,ENSG00000147488,0,0,0,0,0,1,0,0,0,0,0,3,8,0,0,7,1
8961,ENSG00000147509,3,0,16,0,0,0,0,1,1,0,0,0,0,0,6,8,0
8962,ENSG00000147526,89,67,142,99,50,69,144,94,100,105,100,289,219,53,176,254,156
8963,ENSG00000147533,459,306,933,1058,390,741,566,510,521,374,658,526,598,315,583,630,390
8964,ENSG00000147535,145,120,223,105,74,172,151,82,117,91,178,331,194,110,186,559,200
8965,ENSG00000147536,62,2,166,5,5,3,5,6,16,8,9,27,7,4,22,42,57
8966,ENSG00000147548,170,89,207,405,113,125,242,108,262,137,164,284,236,144,181,281,208
8967,ENSG00000147570,0,0,1,0,0,0,0,0,0,0,1,15,0,0,1,1,0
8968,ENSG00000147571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0
8969,ENSG00000147573,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,5
8970,ENSG00000147576,15,7,19,37,10,25,29,17,53,21,19,35,23,25,21,545,24
8971,ENSG00000147586,165,119,289,224,71,97,158,62,202,206,113,102,113,134,226,515,70
8972,ENSG00000147588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8973,ENSG00000147592,25,32,38,18,13,11,24,20,19,13,21,26,29,13,36,90,22
8974,ENSG00000147596,0,1,0,0,1,0,1,2,0,1,1,6,2,1,1,3,1
