,CB-SA-1,CB-SA-2,CB-SA-3,CB-SA-4,CB-SA-5,CB-SA-6,CB-SA-7,CB-SA-8,CB-SA-11,CB-C-1,CB-C-4,CB-C-5,CB-C-6,CB-C-7,CB-C-8,CB-C-9,CB-C-10
METTL7AP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004217.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EIF4A1P12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RSL24D1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBX3P5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
AC084033.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR383656.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC020629.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTBD10P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC016144.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC079600.2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
AC133555.2,15,0,14,73,15,15,0,32,0,51,20,0,0,0,13,51,51
INAFM1,468,283,175,539,207,275,337,1076,244,251,172,563,526,287,182,261,618
ILF2P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR383656.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHCHD3P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNPY2,312,152,323,399,367,271,527,1484,262,545,305,811,232,151,266,396,292
LSM6P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR383656.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009248.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGAM2,14,13,9,26,40,6,24,16,53,5,2,5,9,4,15,23,5
AL512310.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC091516.1,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0
OR6C7P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRT18P20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR5BK1P,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
AC002996.1,50,100,3,120,32,29,2,171,11,2,86,76,61,22,62,41,92
ENSG00000257770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST13P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022507.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC078814.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLYCAM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKIRIN1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF4A1P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR5BJ1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNBP1P1,0,1,2,8,2,1,2,8,2,3,1,3,1,2,1,3,3
AC089984.2,7,3,0,4,1,3,1,26,0,3,11,2,7,4,2,4,9
AC010200.1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
AC003686.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC090525.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1GALT1P1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
MRPS6P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC092552.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR383656.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC106788.1,2,0,1,1,1,1,1,4,1,0,0,1,1,1,2,0,1
KRT90P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL512310.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSM3P2,0,19,0,51,16,0,0,23,0,15,0,15,0,26,0,0,102
AC074029.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPA3P10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
AC048344.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED15P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC126471.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025030.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC090022.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC233290.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC089998.3,0,0,0,2,0,0,0,3,6,0,0,0,0,0,0,20,0
ENSG00000257877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL512310.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHBP18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257886,0,1,1,0,1,2,1,23,1,1,1,1,0,0,1,1,1
AC093012.1,0,3,0,12,9,2,18,3,9,0,0,0,0,0,0,2,0
AC139697.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004486.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EEF1A1P17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLULP5,10,6,9,26,24,1,18,16,11,3,6,5,2,5,7,21,2
AC025165.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUX1,163,187,112,345,137,178,200,561,176,98,65,176,187,128,147,135,242
MRPS36P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC011611.5,0,0,4,0,0,0,3,9,3,0,0,0,2,0,0,0,0
AC084879.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
TEN1,95,74,118,140,91,81,193,258,96,113,93,162,46,44,78,137,49
P2RX5-TAX1BP3,8,5,7,12,6,7,13,37,8,6,4,8,8,8,6,8,11
AC126177.6,4,0,0,0,1,0,0,0,0,0,3,0,2,1,2,0,1
AC125611.2,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0
NOP56P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QRSL1P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLA1P3,4,1,4,9,5,2,5,8,3,2,3,4,5,3,3,3,5
AL079352.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNRPGP18,0,0,0,54,27,0,0,0,0,0,24,0,0,0,0,0,0
TEX49,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0
AC089984.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC084364.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC123904.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000257999,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
HMGA1P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC026111.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
RPL3P13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIGD1AP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025259.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR5BT1P,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NF1P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC063947.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
KRT125P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC074029.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AC025263.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC073612.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL122126.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARL2BPP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC126177.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC128657.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTI1BP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR383656.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGAP42P4,0,1,0,1,0,0,1,3,0,1,0,1,1,0,0,1,0
OR9A4,0,0,1,0,0,0,14,2,0,1,0,0,0,0,0,0,0
AC093014.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AC011611.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAP1LC3B2,8,0,13,10,2,4,11,4,4,2,5,0,3,2,11,7,0
HIGD1AP9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC079316.1,0,0,0,0,0,0,0,0,0,6,14,0,0,4,0,0,12
CCNG2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPIAP45,3,7,3,5,0,0,0,22,0,4,0,0,6,0,11,16,0
PPIAP44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRT128P,3,3,5,0,2,3,1,0,1,1,0,1,0,2,2,1,0
MKRN9P,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
AC106782.1,16,44,33,71,24,62,23,131,44,9,6,39,67,15,22,65,49
AC025578.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC016954.1,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
AC093023.1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
AC007115.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC133555.3,1,2,2,1,1,0,0,1,1,1,1,8,0,1,0,1,5
HSPE1P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL512356.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMMP1LP2,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0
AC079598.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC079598.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC087883.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC7A5P2,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,16
AC011602.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC026371.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008126.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC079598.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC137768.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF75BP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC078886.1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
PRSS58,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0
AC090049.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEC5A,93,52,16,31,57,19,248,93,90,34,12,60,33,29,23,65,88
AC063950.1,2,0,0,29,6,2,2,0,5,0,0,0,4,0,7,2,6
ARHGAP42P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND2P17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OSTF1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL10P13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000258247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YPEL5P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC063949.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC025260.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024257.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR7K1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUHP8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTF3P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POLR2KP1,0,0,59,0,0,116,99,44,0,0,61,187,0,0,0,108,0
NENFP2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
CHURC1,317,225,137,334,278,136,369,443,280,346,130,307,345,112,160,343,152
BRWD1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUTF2P2,0,0,0,5,0,0,0,10,0,12,0,0,5,0,0,0,0
AC233290.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009779.3,14,8,16,44,16,12,33,46,24,11,8,13,18,10,9,14,19
C17orf49,601,489,554,846,414,697,888,2275,431,785,599,1549,559,452,483,656,967
KLF17P1,1,0,2,2,1,3,0,5,1,1,2,1,2,1,0,5,1
AC090502.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL512310.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUX4L52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYF2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC119044.1,136,102,70,612,186,111,156,681,71,68,82,56,187,89,167,239,213
AC023161.2,0,0,0,1,0,0,2,0,4,1,0,0,0,0,0,0,0
AC087888.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCNPP1,3,0,6,8,0,0,11,6,0,0,0,0,2,0,0,3,3
NF1P12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTEL1,36,39,25,35,14,31,32,114,27,54,19,59,34,16,17,35,14
CR383656.13,5,4,12,26,15,19,13,55,17,38,20,17,30,13,16,7,31
ZNF970P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI1P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A3P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC079363.1,1,1,4,3,1,0,1,3,0,0,1,1,0,1,0,2,3
AL512360.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL391516.1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
AL358913.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPT2-EGFL8,6,5,3,3,2,6,8,6,4,3,2,7,13,2,3,7,4
RPA2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCAR1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL512361.1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
ENSG00000258403,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
ZNF578,6,5,5,12,9,4,10,26,6,4,5,6,7,4,5,5,16
AL445383.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NT5CP2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
AL161670.1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
AC060814.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC100868.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AC012414.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FXNP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR7E105P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBM8B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDF,20,11,30,44,25,16,28,87,21,30,19,46,10,10,15,25,13
AC004825.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNASE12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
OR11K2P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007956.1,6,11,7,17,9,0,12,0,0,10,0,2,5,2,5,8,0
AL118557.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000258442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL132777.1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
AL133153.1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
AL442663.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
AC022404.1,36,0,0,29,0,0,0,0,0,15,0,0,0,30,0,0,0
OR11H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTCD2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC012651.1,23,13,18,20,18,11,55,45,25,15,5,20,17,10,8,18,11
AL591767.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC138701.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL139011.2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1
AL049779.1,3,0,0,0,9,14,6,23,0,5,28,5,4,2,0,21,26
PHKBP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR11G1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHMP4BP1,42,21,14,14,8,44,22,17,25,13,27,34,62,42,25,6,34
AC005726.1,15,14,24,54,24,8,32,71,30,17,18,26,22,11,13,18,58
PPIAP6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
TRAV15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPESP1,6,22,14,14,10,5,5,12,8,4,2,21,30,3,1,6,0
SRMP2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
AC023310.1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ZFP64P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL121603.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR11J5P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL845552.1,12,27,0,36,0,0,10,123,9,0,0,0,10,9,0,0,59
EIF3LP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL352979.1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
AL442163.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL163642.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL049870.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007954.1,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,3
AC006349.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,30
AL121579.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NT5CP1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASB9P1,8,0,2,9,0,0,12,7,2,2,4,0,2,2,3,8,0
AP001781.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANF1P1,0,0,55,13,0,53,15,56,28,33,0,16,16,102,17,17,65
FKBP1BP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC068896.1,4,3,9,7,2,3,5,8,3,2,0,9,2,2,6,5,1
AC107958.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4K4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC068831.2,0,0,0,0,20,81,0,0,0,0,0,0,0,0,34,0,0
ENSG00000258543,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1
GLRXP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENPUP2,2,0,1,7,1,0,1,3,1,0,5,2,1,0,0,0,2
AL161713.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR7E106P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007375.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPECC1L-ADORA2A,3,3,2,3,2,1,2,2,2,2,1,4,2,1,2,1,1
AC245505.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC106028.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSMA3P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4N1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLZF2P,0,0,5,9,2,1,0,5,3,3,5,0,1,1,0,2,2
AC007376.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUX4L16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHOQP1,0,0,9,0,16,0,3,13,6,0,3,13,3,0,3,6,0
AC110027.1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
PTTG4P,0,8,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0
SNRPGP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008015.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL157871.3,0,0,0,0,15,0,13,0,0,0,0,0,0,0,0,12,0
ZNF519P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006530.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIM6-TRIM34,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2
ENSG00000258589,1,45,20,24,25,32,6,76,57,14,7,49,86,46,43,21,71
NBEAP1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PPIAP4,17,10,16,0,0,0,0,19,21,0,0,0,8,0,0,0,0
AL110118.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERPINA2,0,0,0,2,0,3,0,0,0,0,0,2,0,0,0,0,0
AL355922.3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0
DYNLL1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNAJC19P9,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
AC087641.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL21P7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL117187.1,49,0,0,156,0,0,80,74,83,0,0,0,84,41,95,90,300
ENSG00000258617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL21P9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL136298.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL442163.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERPINE4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR11H5P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COX7A2P1,0,0,0,0,8,13,0,0,0,0,0,18,0,0,0,0,0
AC103996.1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
AC126603.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AL391261.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC135626.1,0,0,0,7,3,0,3,7,0,0,0,0,3,0,7,0,0
AL389895.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL359212.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL21P5,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0
OR4T1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCL2L2-PABPN1,12,8,12,88,14,8,5,76,6,37,11,88,183,17,23,12,261
SYNJ2BP-COX16,102,337,38,24,69,718,16,39,32,31,40,36,118,13,0,10,10
HSPE1P2,0,0,0,0,0,0,0,29,0,0,0,0,11,0,0,0,0
UBE2CP1,0,0,0,0,0,3,0,8,0,0,5,0,0,0,0,2,0
HSBP1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000258652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005520.1,3,1,1,11,3,2,5,7,1,1,1,3,3,3,2,3,3
AL160236.1,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
TRIM34,60,56,61,145,79,44,83,161,74,38,41,79,59,33,39,72,28
AC068831.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COX6CP11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL132639.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC011448.1,2,7,15,6,4,11,13,56,6,8,1,9,24,1,5,10,1
AC022826.2,1,2,11,1,16,1,3,1,5,1,0,0,1,2,9,8,0
AC121758.1,2,2,1,2,1,1,0,4,0,1,0,0,1,2,2,2,2
AL132994.1,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
AL355836.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMS1P16,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0
AL359219.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL355102.2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
SALL4P7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRP54-AS1,16,3,5,13,11,7,12,68,10,13,4,12,8,2,6,15,2
AC245505.2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SLC20A1P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC023310.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CXADRP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20orf141,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
OR11H3P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CKAP2P1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AC105001.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DUXAP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL162231.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
AC025884.1,12,17,0,20,7,0,10,3,0,0,0,0,11,9,3,0,0
AL049873.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUB1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENO1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2AFVP1,0,0,0,7,9,0,0,0,4,0,5,0,0,0,0,0,0
AL162632.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL358335.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL137100.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL049779.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND4P33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL049874.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC060814.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
