,CB-SA-1,CB-SA-2,CB-SA-3,CB-SA-4,CB-SA-5,CB-SA-6,CB-SA-7,CB-SA-8,CB-SA-11,CB-C-1,CB-C-4,CB-C-5,CB-C-6,CB-C-7,CB-C-8,CB-C-9,CB-C-10
SH2D4B,1,0,1,1,0,1,3,1,0,1,0,2,1,1,0,1,1
RNF212,16,10,8,21,20,6,10,40,15,17,3,9,24,16,9,32,7
PRSS36,13,20,9,45,27,7,51,85,15,5,10,15,4,11,11,16,22
ZNF543,5,6,5,6,16,3,9,15,6,6,3,7,4,3,5,7,3
TMEM151B,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,3,0
GALNT11,45,48,67,114,83,31,87,124,57,64,37,95,29,19,33,88,16
SLITRK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WDR6,230,187,186,321,271,118,262,775,191,197,122,317,351,90,162,268,74
PRM3,0,0,0,9,5,0,5,8,5,0,0,0,0,0,0,0,0
TNP2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
SPAG11A,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
GEN1,11,19,7,21,7,4,21,24,20,7,4,14,18,7,4,21,5
TMPRSS9,1,7,6,5,2,2,2,7,2,1,2,2,3,2,5,1,3
AQP11,1,2,4,7,2,2,4,24,1,8,3,4,0,2,1,5,1
TMEM11,837,539,451,678,438,541,634,1054,456,524,216,805,953,441,429,612,547
ZNF354B,17,22,26,34,35,14,41,87,15,19,17,26,15,12,18,50,13
KCNG2,5,10,9,8,4,2,7,16,10,2,0,2,4,2,3,6,3
SHISA3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
OR2D3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALML3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
CALML5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFAND2A,230,107,152,123,247,95,231,501,173,131,106,235,283,110,39,177,142
PLEKHM3,32,12,11,19,17,9,16,19,15,10,4,17,31,13,10,17,4
ZNF223,17,4,27,15,38,6,18,20,10,7,10,13,16,4,11,16,2
HTR1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM220A,32,17,28,46,38,13,52,113,99,39,22,44,14,8,22,35,12
DNAJC22,1,0,1,0,0,0,0,1,1,11,0,6,0,0,0,1,0
NEUROG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP295NL,13,18,21,33,14,14,32,78,28,10,36,14,12,22,9,16,20
BEND3,2,2,4,2,3,2,2,7,2,4,1,5,2,1,2,3,1
NT5DC1,91,44,66,138,67,75,95,137,52,61,77,65,13,17,37,84,17
RPS3AP5,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0
LINC00843,0,7,23,11,8,2,6,7,0,13,0,6,10,3,0,8,0
GLDC,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0
COX14,233,230,167,248,252,164,460,542,173,388,157,554,133,168,145,242,200
H3F3AP6,45,37,28,50,95,40,60,28,25,57,28,100,36,30,13,61,40
MCMDC2,13,5,7,22,13,7,12,42,13,37,13,73,19,4,9,11,5
TUBAL3,3,2,0,0,2,0,2,9,1,1,3,0,2,1,1,0,0
RPL10P16,20,31,5,21,26,5,13,30,11,6,0,9,5,9,7,27,18
P4HTM,93,98,128,174,80,97,169,394,85,198,67,295,101,53,96,126,133
UCN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTX3,17,30,35,76,57,44,75,181,38,78,21,139,37,23,31,55,28
KLHL11,5,4,7,10,6,3,9,13,6,6,4,9,6,2,5,10,2
NECAP1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMBN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CTXN1,31,5,3,1,5,13,10,11,20,60,7,100,46,6,6,3,33
SLC25A20,102,60,114,236,118,118,159,142,97,78,38,88,53,50,76,93,55
CA8,186,80,90,7,45,53,58,56,128,87,33,166,161,28,25,74,75
CKS1BP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD28,51,46,166,106,144,83,108,157,32,80,41,60,82,16,79,191,14
EPM2AIP1,33,26,34,54,33,18,48,72,30,23,25,28,43,8,20,34,16
ERBB4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MAF,21,35,10,51,32,17,29,85,20,26,12,24,14,10,19,31,7
CTNNBIP1,72,114,77,85,91,89,207,270,76,133,65,277,37,40,89,102,65
OR6B3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEFB125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPDHP29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PSAPL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTPBP6,235,144,224,220,197,199,259,689,165,171,147,203,178,129,147,274,156
ERN1,77,50,28,187,67,52,54,96,42,22,23,38,35,26,33,37,44
GPR35,63,88,90,82,54,42,85,186,32,21,42,49,47,27,50,73,57
ACTG1P1,1,0,1,0,1,1,2,0,1,1,0,0,0,1,0,0,0
AC092656.1,6,2,1,9,3,2,4,10,2,3,4,3,5,2,2,4,9
C10orf53,0,1,0,3,1,0,1,0,0,0,0,0,2,0,0,1,1
PPIAP33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMC10P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSRNP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF713,8,4,5,10,3,1,6,22,4,4,3,5,7,3,4,8,3
PARP10,378,368,462,975,382,573,740,2004,430,272,250,420,422,277,377,447,517
DYNAP,1,1,1,1,1,1,4,3,1,0,0,0,1,1,1,1,1
SUZ12,63,46,59,64,62,23,94,103,53,55,40,81,95,20,40,78,27
NSUN3,510,112,196,84,178,97,126,129,105,428,68,348,448,118,170,188,113
KCTD12,136,84,106,238,168,67,178,223,113,78,87,102,85,42,122,163,28
DHFR2,17,14,18,21,18,6,15,27,10,16,6,13,25,8,13,18,14
AL450998.1,0,0,0,0,0,0,5,4,5,5,0,5,5,10,0,0,0
RPP25,31,20,16,32,31,19,38,100,17,23,23,44,24,13,25,32,26
GRINA,4263,5273,3113,12121,5251,5745,7115,7003,4585,3562,2039,3925,7591,10360,5837,4133,9377
GLULP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THBD,28,75,10,49,55,36,44,79,36,39,29,23,20,14,40,57,16
