,CB-C-1,CB-C-4,CB-C-5,CB-C-6,CB-C-7,CB-C-8,CB-C-9,CB-C-10,CB-SA-1,CB-SA-2,CB-SA-3,CB-SA-4,CB-SA-5,CB-SA-6,CB-SA-7,CB-SA-8,CB-SA-11
#CLASS,Control,Control,Control,Control,Control,Control,Control,Control,Infected,Infected,Infected,Infected,Infected,Infected,Infected,Infected,Infected
ENSG00000122778,4,0,9,1,1,0,1,1,1,1,0,2,1,0,1,8,1
ENSG00000122779,35,18,45,55,14,20,37,17,43,30,31,41,48,26,50,78,39
ENSG00000122783,550,407,910,1302,722,769,916,1090,1920,579,459,4898,917,966,953,2278,1031
ENSG00000122786,324,188,454,374,339,237,603,568,528,158,302,1890,621,218,665,957,566
ENSG00000122787,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
ENSG00000122824,0,0,1,0,0,0,1,0,2,0,0,2,0,1,1,0,0
ENSG00000122852,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ENSG00000122859,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,0
ENSG00000122861,219,2,541,5,3,3,4,7,8,11,3,8,2,5,377,306,24
ENSG00000122862,7734,4939,7776,4244,3347,5252,10855,7163,8611,6989,4732,13362,7507,4298,24607,12059,12264
ENSG00000122863,20,0,43,0,0,0,0,1,1,0,0,0,1,0,0,10,1
ENSG00000122870,4,1,9,0,0,0,1,0,1,0,1,0,1,2,2,3,0
ENSG00000122872,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000122873,68,57,177,16,15,18,48,8,60,14,19,23,36,14,37,67,40
ENSG00000122877,24,1,44,2,2,1,1,0,1,6,1,4,1,2,4,120,3
ENSG00000122882,109,49,156,220,67,58,113,104,151,93,82,134,97,79,106,228,82
ENSG00000122884,169,68,255,47,36,101,135,41,112,58,52,77,162,34,173,140,90
ENSG00000122912,14,10,25,23,14,12,22,9,13,10,23,29,59,10,57,82,24
ENSG00000122952,202,12,404,142,22,5,86,28,56,51,47,10,11,17,127,74,31
ENSG00000122958,113,87,211,295,54,63,102,79,301,65,56,122,107,52,147,227,77
ENSG00000122965,60,49,96,81,48,68,106,68,111,47,113,103,85,71,118,311,79
ENSG00000122966,48,1,104,75,6,1,10,20,30,21,11,2,3,3,32,13,30
ENSG00000122970,5,2,13,4,2,3,7,12,6,3,5,7,3,1,3,12,6
ENSG00000122971,96,31,136,41,44,57,46,25,59,39,55,63,53,65,75,79,54
ENSG00000122986,190,170,281,146,220,305,279,145,360,164,432,380,392,236,469,784,332
ENSG00000123009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0
